,CONJUNTO,VIZINHOS,AMOSTRAS,PORCENTAGEM,CUSTO,GAP,TIME,PESOS,CAPACIDADES
128,WEISH25,3t,1.0,0.8,9922.0,0.0017104336452359,396.63729906082153,80.0,5.0
129,WEISH26,1t,1.0,0.8,4371.6,0.5438647746243739,0.054277133941650325,90.0,5.0
130,WEISH26,2t,1.0,0.8000000000000002,9412.666666666666,0.0178770172509738,3.8950867652893066,90.0,5.0
131,WEISH26,3t,1.0,0.8,9584.0,0.0,992.5366163253784,90.0,5.0
132,WEISH27,1t,1.0,0.8,4073.2,0.5851716060698646,0.04776344299316402,90.0,5.0
133,WEISH27,2t,1.0,0.8000000000000002,9738.333333333334,0.008215364768985232,4.334961732228597,90.0,5.0
134,WEISH27,3t,1.0,0.8,9816.0,0.0003055300947143,515.3861086368561,90.0,5.0
135,WEISH28,1t,1.0,0.8,3709.2,0.6092288242730721,0.0549568653106689,90.0,5.0
136,WEISH28,2t,1.0,0.8000000000000002,9217.666666666666,0.028901531113920433,4.321954091389974,90.0,5.0
137,WEISH28,3t,1.0,0.8,9492.0,0.0,664.7360098361969,90.0,5.0
138,WEISH29,1t,1.0,0.8,3339.0,0.6451647183846971,0.0442148685455322,90.0,5.0
139,WEISH29,2t,1.0,0.8000000000000002,9158.333333333334,0.026744597945448065,4.667526165644328,90.0,5.0
140,WEISH29,3t,1.0,0.8,9410.0,0.0,853.4698741436005,90.0,5.0
141,WEISH30,1t,1.0,0.8,5527.0,0.5061209900813153,0.05872960090637201,90.0,5.0
142,WEISH30,2t,1.0,0.8000000000000002,10979.333333333334,0.01891400828046343,5.361481507619222,90.0,5.0
143,WEISH30,3t,1.0,0.8,11187.0,0.000357430077741,1312.3830063343048,90.0,5.0
